,image,confidence,TP,FP,acc TP,acc FP,precision,recall
28,ed3bea59397c_image,93.96%,1,0,28,1,0.965517241,0.017823043
29,6d2fb9851b18_image,93.91%,1,0,29,1,0.966666667,0.01845958
30,7b3cd095516f_image,93.88%,1,0,30,1,0.967741935,0.019096117
31,36d85956f758_image,93.84%,1,0,31,1,0.96875,0.019732654
32,05bacfe4dcc2_image,93.73%,1,0,32,1,0.96969697,0.020369192
33,76ac53629eda_image,93.68%,1,0,33,1,0.970588235,0.021005729
34,c63f93b9e947_image,93.53%,1,0,34,1,0.971428571,0.021642266
35,a84b6afbf1f0_image,93.49%,0,1,34,2,0.944444444,0.021642266
36,4b7487cbd7d7_image,93.46%,1,0,35,2,0.945945946,0.022278803
37,03a1614f51e7_image,93.35%,1,0,36,2,0.947368421,0.022915341
38,47dc317fb2b4_image,93.33%,1,0,37,2,0.948717949,0.023551878
39,ce6d7cb9321f_image,93.29%,1,0,38,2,0.95,0.024188415
40,4615024f5104_image,93.28%,1,0,39,2,0.951219512,0.024824952
41,fc2e09c26167_image,93.25%,1,0,40,2,0.952380952,0.025461489
42,7452ddd5b44b_image,93.18%,1,0,41,2,0.953488372,0.026098027
43,cd35cdb7676c_image,93.11%,1,0,42,2,0.954545455,0.026734564
44,d2909cb9f49e_image,93.10%,1,0,43,2,0.955555556,0.027371101
45,a118217749bb_image,93.09%,1,0,44,2,0.956521739,0.028007638
46,d33ad3042402_image,93.03%,1,0,45,2,0.957446809,0.028644176
47,e037b8843af6_image,93.02%,1,0,46,2,0.958333333,0.029280713
48,62fb74aea804_image,93.00%,1,0,47,2,0.959183673,0.02991725
49,7194fb62b105_image,92.97%,1,0,48,2,0.96,0.030553787
50,5b1e5fabcb5d_image,92.97%,1,0,49,2,0.960784314,0.031190325
51,16219815d303_image,92.90%,1,0,50,2,0.961538462,0.031826862
52,507fae7855a0_image,92.89%,1,0,51,2,0.962264151,0.032463399
53,4527eb220680_image,92.82%,1,0,52,2,0.962962963,0.033099936
54,7452ddd5b44b_image,92.82%,1,0,53,2,0.963636364,0.033736474
55,e407061c0811_image,92.80%,0,1,53,3,0.946428571,0.033736474
56,de70ed3c1107_image,92.79%,1,0,54,3,0.947368421,0.034373011
57,9d45a7e2deda_image,92.77%,1,0,55,3,0.948275862,0.035009548
58,1a5b81d8f067_image,92.77%,1,0,56,3,0.949152542,0.035646085
59,905053213b77_image,92.77%,1,0,57,3,0.95,0.036282623
60,4b7487cbd7d7_image,92.69%,1,0,58,3,0.950819672,0.03691916
61,4d5364b334dd_image,92.64%,1,0,59,3,0.951612903,0.037555697
62,1f3aaf44de73_image,92.61%,1,0,60,3,0.952380952,0.038192234
63,1c9bc3acd2db_image,92.60%,1,0,61,3,0.953125,0.038828771
64,fa9729ef16b6_image,92.60%,1,0,62,3,0.953846154,0.039465309
65,2bb988c34102_image,92.57%,1,0,63,3,0.954545455,0.040101846
66,60b2b1f5f130_image,92.56%,1,0,64,3,0.955223881,0.040738383
67,af7b5afa229f_image,92.47%,1,0,65,3,0.955882353,0.04137492
68,47f55c66e047_image,92.41%,1,0,66,3,0.956521739,0.042011458
69,36400b03d8b0_image,92.37%,1,0,67,3,0.957142857,0.042647995
70,5896e41fcc13_image,92.36%,1,0,68,3,0.957746479,0.043284532
71,f99140e2c7d9_image,92.32%,1,0,69,3,0.958333333,0.043921069
72,49451621d538_image,92.30%,1,0,70,3,0.95890411,0.044557607
73,c911acd72665_image,92.28%,1,0,71,3,0.959459459,0.045194144
74,8f50572ee0bc_image,92.20%,0,1,71,4,0.946666667,0.045194144
75,78a25e4b11dd_image,92.17%,1,0,72,4,0.947368421,0.045830681
76,1d59964d508c_image,92.07%,1,0,73,4,0.948051948,0.046467218
77,ae3d5da58736_image,92.06%,1,0,74,4,0.948717949,0.047103756
78,0a0cbc610620_image,92.02%,0,1,74,5,0.936708861,0.047103756
79,8c5ed871aaba_image,92.01%,1,0,75,5,0.9375,0.047740293
80,e98098b26a0f_image,91.96%,0,1,75,6,0.925925926,0.047740293
81,2ad6ea7e7941_image,91.94%,1,0,76,6,0.926829268,0.04837683
82,fbbd69e1d82a_image,91.93%,1,0,77,6,0.927710843,0.049013367
83,c6e4a9162e0c_image,91.90%,1,0,78,6,0.928571429,0.049649905
84,5662a418a7f0_image,91.89%,1,0,79,6,0.929411765,0.050286442
85,a881b6526c07_image,91.86%,1,0,80,6,0.930232558,0.050922979
86,95be342e48de_image,91.84%,1,0,81,6,0.931034483,0.051559516
87,b1cd27e802aa_image,91.78%,1,0,82,6,0.931818182,0.052196053
88,9d6115245977_image,91.74%,1,0,83,6,0.93258427,0.052832591
89,56e3ae675ecc_image,91.74%,1,0,84,6,0.933333333,0.053469128
90,ac1c89907fa2_image,91.74%,0,1,84,7,0.923076923,0.053469128
91,87b34dde6c8c_image,91.70%,0,1,84,8,0.913043478,0.053469128
92,008ff73b4ef3_image,91.70%,1,0,85,8,0.913978495,0.054105665
93,5b1e5fabcb5d_image,91.67%,1,0,86,8,0.914893617,0.054742202
94,e3cfb3330b60_image,91.65%,0,1,86,9,0.905263158,0.054742202
95,3df2c9d30cdf_image,91.64%,0,1,86,10,0.895833333,0.054742202
96,25451ff5a571_image,91.63%,1,0,87,10,0.896907216,0.05537874
97,03a1614f51e7_image,91.56%,1,0,88,10,0.897959184,0.056015277
98,7d622deec073_image,91.56%,1,0,89,10,0.898989899,0.056651814
99,6699ff481799_image,91.54%,1,0,90,10,0.9,0.057288351
100,072999833ab4_image,91.37%,0,1,90,11,0.891089109,0.057288351
101,8d95766f633e_image,91.32%,0,1,90,12,0.882352941,0.057288351
102,c02550dc623f_image,91.19%,1,0,91,12,0.883495146,0.057924889
103,f1fb11c067c6_image,91.19%,1,0,92,12,0.884615385,0.058561426
104,05c34e480f64_image,91.17%,0,1,92,13,0.876190476,0.058561426
105,52b4a3a409e6_image,91.16%,1,0,93,13,0.877358491,0.059197963
106,05ef4358baa9_image,91.16%,1,0,94,13,0.878504673,0.0598345
107,d1ffee85b260_image,91.15%,1,0,95,13,0.87962963,0.060471038
108,1e2ab5bceffb_image,91.11%,1,0,96,13,0.880733945,0.061107575
109,e1b500e2ea12_image,91.09%,1,0,97,13,0.881818182,0.061744112
110,539b138b6489_image,91.08%,1,0,98,13,0.882882883,0.062380649
111,36400b03d8b0_image,91.07%,1,0,99,13,0.883928571,0.063017187
112,787a6a770572_image,91.04%,1,0,100,13,0.884955752,0.063653724
113,8f50572ee0bc_image,91.04%,1,0,101,13,0.885964912,0.064290261
114,fa1a1dd477c2_image,91.03%,1,0,102,13,0.886956522,0.064926798
115,b8f98967f667_image,90.97%,1,0,103,13,0.887931034,0.065563335
116,e037b8843af6_image,90.96%,1,0,104,13,0.888888889,0.066199873
117,dfff667be98d_image,90.92%,0,1,104,14,0.881355932,0.066199873
118,0b9add7616b0_image,90.92%,1,0,105,14,0.882352941,0.06683641
119,a67920ee2f33_image,90.91%,1,0,106,14,0.883333333,0.067472947
120,524d06460f5f_image,90.91%,1,0,107,14,0.884297521,0.068109484
121,a84b6afbf1f0_image,90.90%,1,0,108,14,0.885245902,0.068746022
122,779d18c490e9_image,90.89%,1,0,109,14,0.886178862,0.069382559
123,73d080014eb0_image,90.89%,1,0,110,14,0.887096774,0.070019096
124,ce3dd1c7183a_image,90.85%,1,0,111,14,0.888,0.070655633
125,d3885c0f58bb_image,90.84%,0,1,111,15,0.880952381,0.070655633
126,2152246f31f1_image,90.82%,0,1,111,16,0.874015748,0.070655633
127,3299c772badc_image,90.78%,1,0,112,16,0.875,0.071292171
128,500c402a7e56_image,90.75%,1,0,113,16,0.875968992,0.071928708
129,cd35cdb7676c_image,90.72%,0,1,113,17,0.869230769,0.071928708
130,c63f93b9e947_image,90.70%,1,0,114,17,0.870229008,0.072565245
131,2ae75e3c1a63_image,90.68%,0,1,114,18,0.863636364,0.072565245
132,5896e41fcc13_image,90.68%,1,0,115,18,0.864661654,0.073201782
133,682dc5e0de25_image,90.67%,1,0,116,18,0.865671642,0.07383832
134,bab5ad2732f1_image,90.66%,0,1,116,19,0.859259259,0.07383832
135,21b11b97837b_image,90.66%,1,0,117,19,0.860294118,0.074474857
136,327996961b8d_image,90.64%,1,0,118,19,0.861313869,0.075111394
137,c5970294a8c3_image,90.61%,1,0,119,19,0.862318841,0.075747931
138,9d45a7e2deda_image,90.60%,1,0,120,19,0.863309353,0.076384468
139,1d59964d508c_image,90.43%,1,0,121,19,0.864285714,0.077021006
140,acd6abf84731_image,90.42%,1,0,122,19,0.865248227,0.077657543
141,62fb74aea804_image,90.40%,1,0,123,19,0.866197183,0.07829408
142,ab26438e1fa9_image,90.39%,1,0,124,19,0.867132867,0.078930617
143,aac2ef61107a_image,90.38%,1,0,125,19,0.868055556,0.079567155
144,e46f7573012c_image,90.31%,1,0,126,19,0.868965517,0.080203692
145,f1fb11c067c6_image,90.31%,1,0,127,19,0.869863014,0.080840229
146,8ec8d01b5926_image,90.28%,1,0,128,19,0.870748299,0.081476766
147,bab5ad2732f1_image,90.28%,0,1,128,20,0.864864865,0.081476766
148,390dba6691ee_image,90.21%,1,0,129,20,0.865771812,0.082113304
149,49451621d538_image,90.09%,1,0,130,20,0.866666667,0.082749841
150,072999833ab4_image,90.06%,0,1,130,21,0.860927152,0.082749841
151,ee6fa7832bc5_image,89.93%,1,0,131,21,0.861842105,0.083386378
152,e85164fe46ac_image,89.92%,1,0,132,21,0.862745098,0.084022915
153,545096ff25ac_image,89.90%,1,0,133,21,0.863636364,0.084659453
154,22c3bf8c1c0a_image,89.87%,1,0,134,21,0.864516129,0.08529599
155,57675376af04_image,89.82%,1,0,135,21,0.865384615,0.085932527
156,6cc2230359eb_image,89.75%,1,0,136,21,0.866242038,0.086569064
157,acae41f6c042_image,89.75%,0,1,136,22,0.860759494,0.086569064
158,327996961b8d_image,89.73%,1,0,137,22,0.86163522,0.087205602
159,89bc34f78d96_image,89.64%,1,0,138,22,0.8625,0.087842139
160,fe52ee3b2a82_image,89.62%,1,0,139,22,0.863354037,0.088478676
161,45aef07500cc_image,89.60%,0,1,139,23,0.858024691,0.088478676
162,25451ff5a571_image,89.60%,1,0,140,23,0.858895706,0.089115213
163,16219815d303_image,89.58%,1,0,141,23,0.859756098,0.08975175
164,b7f90870e6cb_image,89.53%,1,0,142,23,0.860606061,0.090388288
165,3d9c95938f42_image,89.50%,1,0,143,23,0.861445783,0.091024825
166,5ce2be1781f6_image,89.42%,0,1,143,24,0.856287425,0.091024825
167,14ad2e08ab7f_image,89.42%,1,0,144,24,0.857142857,0.091661362
168,6c198fd756df_image,89.40%,0,1,144,25,0.852071006,0.091661362
169,e9dd2e15cb8b_image,89.37%,1,0,145,25,0.852941176,0.092297899
170,8ded0693be5e_image,89.34%,1,0,146,25,0.85380117,0.092934437
171,05bacfe4dcc2_image,89.31%,1,0,147,25,0.854651163,0.093570974
172,a67920ee2f33_image,89.30%,1,0,148,25,0.855491329,0.094207511
173,e1b500e2ea12_image,89.30%,1,0,149,25,0.856321839,0.094844048
174,682dc5e0de25_image,89.25%,1,0,150,25,0.857142857,0.095480586
175,60b2b1f5f130_image,89.24%,1,0,151,25,0.857954545,0.096117123
176,1f3aaf44de73_image,89.24%,1,0,152,25,0.858757062,0.09675366
177,8a6ff2ab86ee_image,89.23%,1,0,153,25,0.859550562,0.097390197
178,9b2d4652ad72_image,89.21%,1,0,154,25,0.860335196,0.098026735
179,5f9ca36e82aa_image,89.21%,1,0,155,25,0.861111111,0.098663272
180,3f79915dd256_image,89.19%,1,0,156,25,0.861878453,0.099299809
181,fed009ec0e3f_image,89.18%,1,0,157,25,0.862637363,0.099936346
182,8d95766f633e_image,89.10%,1,0,158,25,0.863387978,0.100572884
183,6c3b72416712_image,89.08%,1,0,159,25,0.864130435,0.101209421
184,f4be52d4e6ae_image,89.02%,1,0,160,25,0.864864865,0.101845958
185,500c402a7e56_image,89.01%,1,0,161,25,0.865591398,0.102482495
186,94825b693577_image,88.98%,1,0,162,25,0.86631016,0.103119032
187,0b9add7616b0_image,88.98%,1,0,163,25,0.867021277,0.10375557
188,21b11b97837b_image,88.98%,1,0,164,25,0.867724868,0.104392107
189,7319e0693070_image,88.98%,1,0,165,25,0.868421053,0.105028644
190,a6de43bd68d4_image,88.93%,1,0,166,25,0.869109948,0.105665181
191,a881b6526c07_image,88.93%,1,0,167,25,0.869791667,0.106301719
192,b813385b09f0_image,88.93%,1,0,168,25,0.870466321,0.106938256
193,d7d0138bede7_image,88.92%,1,0,169,25,0.871134021,0.107574793
194,b1cd27e802aa_image,88.91%,1,0,170,25,0.871794872,0.10821133
195,8ddd063f5c7d_image,88.87%,1,0,171,25,0.87244898,0.108847868
196,dd50263ab71c_image,88.87%,1,0,172,25,0.873096447,0.109484405
197,a118217749bb_image,88.86%,1,0,173,25,0.873737374,0.110120942
198,e407061c0811_image,88.83%,0,1,173,26,0.869346734,0.110120942
199,47dc317fb2b4_image,88.81%,1,0,174,26,0.87,0.110757479
200,479739d8c10d_image,88.81%,1,0,175,26,0.870646766,0.111394017
201,f7cbb88ba1c2_image,88.79%,1,0,176,26,0.871287129,0.112030554
202,b36981909f0f_image,88.79%,1,0,177,26,0.871921182,0.112667091
203,f4be52d4e6ae_image,88.77%,1,0,178,26,0.87254902,0.113303628
204,d8ef6a6d4981_image,88.75%,1,0,179,26,0.873170732,0.113940165
205,ba2b40893712_image,88.71%,1,0,180,26,0.873786408,0.114576703
206,3af695060eba_image,88.68%,1,0,181,26,0.874396135,0.11521324
207,98c466f7ae19_image,88.67%,1,0,182,26,0.875,0.115849777
208,c12672d401e4_image,88.66%,1,0,183,26,0.875598086,0.116486314
209,0283ed37496d_image,88.66%,1,0,184,26,0.876190476,0.117122852
210,b043ad7772e6_image,88.66%,1,0,185,26,0.876777251,0.117759389
211,cca1c1a5635c_image,88.66%,1,0,186,26,0.877358491,0.118395926
212,294cda0e3c4a_image,88.59%,1,0,187,26,0.877934272,0.119032463
213,499ba19916d1_image,88.57%,1,0,188,26,0.878504673,0.119669001
214,77051a42923e_image,88.55%,1,0,189,26,0.879069767,0.120305538
215,9d6115245977_image,88.54%,1,0,190,26,0.87962963,0.120942075
216,29b8064bf6bb_image,88.49%,1,0,191,26,0.880184332,0.121578612
217,a09c6b006ed5_image,88.48%,1,0,192,26,0.880733945,0.12221515
218,479739d8c10d_image,88.47%,1,0,193,26,0.881278539,0.122851687
219,0a5f36296cb0_image,88.45%,1,0,194,26,0.881818182,0.123488224
220,249e3ca02bb1_image,88.42%,1,0,195,26,0.882352941,0.124124761
221,bd27bdba89f8_image,88.40%,0,1,195,27,0.878378378,0.124124761
222,65b2468a585d_image,88.39%,1,0,196,27,0.878923767,0.124761299
223,95be342e48de_image,88.36%,1,0,197,27,0.879464286,0.125397836
224,f2633be66b0d_image,88.33%,1,0,198,27,0.88,0.126034373
225,6b9250650ca0_image,88.32%,1,0,199,27,0.880530973,0.12667091
226,e4e05d181762_image,88.31%,1,0,200,27,0.881057269,0.127307447
227,5228f2a518c0_image,88.27%,1,0,201,27,0.881578947,0.127943985
228,539b138b6489_image,88.26%,1,0,202,27,0.88209607,0.128580522
229,77051a42923e_image,88.23%,1,0,203,27,0.882608696,0.129217059
230,2446e23969e6_image,88.21%,1,0,204,27,0.883116883,0.129853596
231,f476eafd8d46_image,88.20%,1,0,205,27,0.88362069,0.130490134
232,0a0cbc610620_image,88.19%,1,0,206,27,0.884120172,0.131126671
233,c8e548bba5f8_image,88.18%,1,0,207,27,0.884615385,0.131763208
234,8e486df25480_image,88.17%,1,0,208,27,0.885106383,0.132399745
235,30353c8bddab_image,88.15%,0,1,208,28,0.881355932,0.132399745
236,79b7ba0210bb_image,88.14%,1,0,209,28,0.88185654,0.133036283
237,9e4824fcee2e_image,88.09%,1,0,210,28,0.882352941,0.13367282
238,8e486df25480_image,88.09%,1,0,211,28,0.882845188,0.134309357
239,204b76fa911b_image,88.08%,0,1,211,29,0.879166667,0.134309357
240,8d172794061c_image,88.05%,0,1,211,30,0.875518672,0.134309357
241,2feb3afc8481_image,88.04%,1,0,212,30,0.876033058,0.134945894
242,3ee11f07a427_image,88.01%,1,0,213,30,0.87654321,0.135582432
243,7a733f167e29_image,87.98%,1,0,214,30,0.87704918,0.136218969
244,035f51150531_image,87.94%,0,1,214,31,0.873469388,0.136218969
245,dee1f922c02a_image,87.93%,0,1,214,32,0.869918699,0.136218969
246,47f55c66e047_image,87.90%,1,0,215,32,0.870445344,0.136855506
247,20a040efb0d8_image,87.83%,1,0,216,32,0.870967742,0.137492043
248,95ebf6f3aee6_image,87.82%,1,0,217,32,0.871485944,0.138128581
249,adf925d6c357_image,87.78%,1,0,218,32,0.872,0.138765118
250,d4233665595c_image,87.75%,1,0,219,32,0.87250996,0.139401655
251,9b2d4652ad72_image,87.71%,1,0,220,32,0.873015873,0.140038192
252,db27626f6cf2_image,87.70%,1,0,221,32,0.873517787,0.140674729
253,84a8af741443_image,87.69%,1,0,222,32,0.874015748,0.141311267
254,d3b1687c5c41_image,87.63%,1,0,223,32,0.874509804,0.141947804
255,7652321644be_image,87.63%,1,0,224,32,0.875,0.142584341
256,d3b1687c5c41_image,87.62%,1,0,225,32,0.875486381,0.143220878
257,fb41ef9ddaa2_image,87.61%,1,0,226,32,0.875968992,0.143857416
258,c911acd72665_image,87.57%,1,0,227,32,0.876447876,0.144493953
259,c113eeda4af3_image,87.53%,1,0,228,32,0.876923077,0.14513049
260,035f51150531_image,87.53%,0,1,228,33,0.873563218,0.14513049
261,390dba6691ee_image,87.51%,1,0,229,33,0.874045802,0.145767027
262,82ac18114c98_image,87.49%,1,0,230,33,0.874524715,0.146403565
263,384befafa4d2_image,87.47%,0,1,230,34,0.871212121,0.146403565
264,f9c45ad6c3ab_image,87.47%,1,0,231,34,0.871698113,0.147040102
265,aac2ef61107a_image,87.44%,0,1,231,35,0.868421053,0.147040102
266,1697c6702167_image,87.42%,1,0,232,35,0.868913858,0.147676639
267,f39eadda837b_image,87.40%,1,0,233,35,0.869402985,0.148313176
268,02037e3e6555_image,87.32%,1,0,234,35,0.869888476,0.148949714
269,b55e62a49379_image,87.28%,1,0,235,35,0.87037037,0.149586251
270,dfff667be98d_image,87.27%,1,0,236,35,0.870848708,0.150222788
271,7194fb62b105_image,87.19%,1,0,237,35,0.871323529,0.150859325
272,3f4bf5c485de_image,87.14%,0,1,237,36,0.868131868,0.150859325
273,507fae7855a0_image,87.12%,1,0,238,36,0.868613139,0.151495863
274,4d08f081f09d_image,87.11%,1,0,239,36,0.869090909,0.1521324
275,d889eeca955d_image,87.07%,1,0,240,36,0.869565217,0.152768937
276,b7f90870e6cb_image,87.07%,1,0,241,36,0.870036101,0.153405474
277,8125a7add80b_image,87.05%,1,0,242,36,0.870503597,0.154042011
278,6732a1608a89_image,87.03%,1,0,243,36,0.870967742,0.154678549
279,ad37a4fbedd4_image,87.02%,1,0,244,36,0.871428571,0.155315086
280,65f07a999eae_image,87.02%,1,0,245,36,0.871886121,0.155951623
281,ba0001dac70b_image,86.95%,1,0,246,36,0.872340426,0.15658816
282,61d8f4b28030_image,86.93%,1,0,247,36,0.872791519,0.157224698
283,4fbaae87210f_image,86.91%,1,0,248,36,0.873239437,0.157861235
284,7df6f0a19939_image,86.89%,0,1,248,37,0.870175439,0.157861235
285,7eef8e9bf889_image,86.85%,1,0,249,37,0.870629371,0.158497772
286,d2909cb9f49e_image,86.84%,1,0,250,37,0.871080139,0.159134309
287,a3d4029a671d_image,86.82%,1,0,251,37,0.871527778,0.159770847
288,a5b0a1b1c7c5_image,86.82%,1,0,252,37,0.871972318,0.160407384
289,c4dfcdff7d48_image,86.74%,1,0,253,37,0.872413793,0.161043921
290,100611817cc6_image,86.71%,1,0,254,37,0.872852234,0.161680458
291,d824859c732d_image,86.65%,1,0,255,37,0.873287671,0.162316996
292,a4a0a64989fd_image,86.62%,1,0,256,37,0.873720137,0.162953533
293,ce3dd1c7183a_image,86.61%,1,0,257,37,0.87414966,0.16359007
294,56e3ae675ecc_image,86.59%,1,0,258,37,0.874576271,0.164226607
295,4d08f081f09d_image,86.56%,1,0,259,37,0.875,0.164863144
296,532f722fa51d_image,86.56%,1,0,260,37,0.875420875,0.165499682
297,912fbfa9f737_image,86.55%,1,0,261,37,0.875838926,0.166136219
298,0726c56e706d_image,86.54%,1,0,262,37,0.876254181,0.166772756
299,a26db5e118a4_image,86.54%,1,0,263,37,0.876666667,0.167409293
300,19ac47c9643d_image,86.51%,1,0,264,37,0.877076412,0.168045831
301,61f6f66ca634_image,86.48%,1,0,265,37,0.877483444,0.168682368
302,39fc79f0bd68_image,86.45%,1,0,266,37,0.877887789,0.169318905
303,8d9892c5b5e7_image,86.42%,1,0,267,37,0.878289474,0.169955442
304,6d2fb9851b18_image,86.38%,1,0,268,37,0.878688525,0.17059198
305,c814bd58330c_image,86.36%,1,0,269,37,0.879084967,0.171228517
306,0c5302698d64_image,86.36%,0,1,269,38,0.876221498,0.171228517
307,d00a82ee79f8_image,86.34%,1,0,270,38,0.876623377,0.171865054
308,4615024f5104_image,86.31%,1,0,271,38,0.877022654,0.172501591
309,ed3bea59397c_image,86.31%,0,1,271,39,0.874193548,0.172501591
310,78383a97e9b8_image,86.30%,1,0,272,39,0.874598071,0.173138129
311,f78663a47369_image,86.27%,0,1,272,40,0.871794872,0.173138129
312,b29d68af277a_image,86.25%,1,0,273,40,0.872204473,0.173774666
313,d33ad3042402_image,86.21%,1,0,274,40,0.872611465,0.174411203
314,b4b931e5ad31_image,86.20%,1,0,275,40,0.873015873,0.17504774
315,2bb988c34102_image,86.14%,1,0,276,40,0.873417722,0.175684278
316,ce0b9e47976b_image,86.13%,0,1,276,41,0.870662461,0.175684278
317,1e82f179e878_image,86.08%,1,0,277,41,0.871069182,0.176320815
318,f78663a47369_image,86.08%,1,0,278,41,0.871473354,0.176957352
319,e31fc5148d42_image,86.05%,1,0,279,41,0.871875,0.177593889
320,59cb840515f1_image,86.04%,1,0,280,41,0.872274143,0.178230426
321,488bee5db2c7_image,86.03%,1,0,281,41,0.872670807,0.178866964
322,43883549bf9b_image,85.99%,1,0,282,41,0.873065015,0.179503501
323,6f5e70a99d77_image,85.90%,1,0,283,41,0.87345679,0.180140038
324,8ec8d01b5926_image,85.88%,1,0,284,41,0.873846154,0.180776575
325,d5386c34152f_image,85.88%,1,0,285,41,0.874233129,0.181413113
326,b004b1fe809f_image,85.87%,1,0,286,41,0.874617737,0.18204965
327,aa4e8e7e82a7_image,85.87%,0,1,286,42,0.87195122,0.18204965
328,e85164fe46ac_image,85.86%,1,0,287,42,0.872340426,0.182686187
329,da4daa1dd48d_image,85.85%,0,1,287,43,0.86969697,0.182686187
330,100611817cc6_image,85.80%,1,0,288,43,0.870090634,0.183322724
331,21905d725d81_image,85.74%,0,1,288,44,0.86746988,0.183322724
332,42d9d100ae15_image,85.67%,0,1,288,45,0.864864865,0.183322724
333,bfefe3eb008e_image,85.64%,0,1,288,46,0.862275449,0.183322724
334,76ac53629eda_image,85.61%,1,0,289,46,0.862686567,0.183959262
335,2a7f96c98513_image,85.57%,1,0,290,46,0.863095238,0.184595799
336,4cb11023c508_image,85.51%,1,0,291,46,0.863501484,0.185232336
337,ac92f478c77e_image,85.48%,1,0,292,46,0.863905325,0.185868873
338,fa1a1dd477c2_image,85.42%,0,1,292,47,0.861356932,0.185868873
339,f18545f9db39_image,85.40%,1,0,293,47,0.861764706,0.186505411
340,f524075b2d23_image,85.38%,1,0,294,47,0.862170088,0.187141948
341,70a7e221ebf5_image,85.37%,1,0,295,47,0.862573099,0.187778485
342,f18545f9db39_image,85.37%,1,0,296,47,0.862973761,0.188415022
343,91abd96780d5_image,85.36%,1,0,297,47,0.863372093,0.18905156
344,7319e0693070_image,85.31%,1,0,298,47,0.863768116,0.189688097
345,dec62bd53a03_image,85.29%,0,1,298,48,0.861271676,0.189688097
346,1ed1fa2827c8_image,85.29%,0,1,298,49,0.858789625,0.189688097
347,89bc34f78d96_image,85.28%,1,0,299,49,0.859195402,0.190324634
348,1843ab225632_image,85.25%,1,0,300,49,0.859598854,0.190961171
349,52b4a3a409e6_image,85.21%,1,0,301,49,0.86,0.191597708
350,af7b5afa229f_image,85.20%,1,0,302,49,0.86039886,0.192234246
351,5a343fdced42_image,85.16%,0,1,302,50,0.857954545,0.192234246
352,9e4824fcee2e_image,85.15%,1,0,303,50,0.858356941,0.192870783
353,3138649980f0_image,85.15%,1,0,304,50,0.858757062,0.19350732
354,ea408a91db91_image,85.13%,1,0,305,50,0.85915493,0.194143857
355,d1ffee85b260_image,85.12%,1,0,306,50,0.859550562,0.194780395
356,e393f9122068_image,85.11%,0,1,306,51,0.857142857,0.194780395
357,ba2b40893712_image,85.10%,1,0,307,51,0.857541899,0.195416932
358,ded9cb5e9ddd_image,85.08%,1,0,308,51,0.857938719,0.196053469
359,0748e24c162d_image,85.08%,1,0,309,51,0.858333333,0.196690006
360,7064823e0cf2_image,85.06%,1,0,310,51,0.858725762,0.197326544
361,f78f90e88861_image,85.02%,1,0,311,51,0.859116022,0.197963081
362,7b044ee686fe_image,85.02%,1,0,312,51,0.859504132,0.198599618
363,0c5302698d64_image,84.99%,0,1,312,52,0.857142857,0.198599618
364,945b1ced5992_image,84.95%,1,0,313,52,0.857534247,0.199236155
365,7c4a926c42d4_image,84.93%,1,0,314,52,0.857923497,0.199872693
366,c86ec745fa23_image,84.92%,1,0,315,52,0.858310627,0.20050923
367,7b044ee686fe_image,84.91%,1,0,316,52,0.858695652,0.201145767
368,87b34dde6c8c_image,84.89%,1,0,317,52,0.859078591,0.201782304
